English,Arabic
hello,مرحبا
world,العالم
cat,قط
dog,كلب
goodbye,وداعا
house,منزل
computer,حاسوب
friend,صديق
book,كتاب
school,مدرسة
sun,شمس
moon,قمر
water,ماء
food,طعام
family,عائلة
city,مدينة
music,موسيقى
happy,سعيد
sad,حزين
love,حب
travel,سفر
language,لغة
friendship,صداقة
beach,شاطئ
mountain,جبل
garden,حديقة
flower,زهرة
star,نجمة
sky,سماء
rain,مطر
cloud,سحابة
color,لون
sleep,نوم
dream,حلم
smile,ابتسامة
laugh,ضحك
work,عمل
play,لعب
study,دراسة
exercise,تمرين
health,صحة
knowledge,معرفة
science,علم
technology,تكنولوجيا
internet,الإنترنت
peace,سلام
war,حرب
freedom,حرية
justice,عدالة
art,فن
culture,ثقافة
history,تاريخ
holiday,عطلة
celebration,احتفال
nature,طبيعة
wildlife,حياة برية
ocean,محيط
architecture,هندسة معمارية
tradition,تقليد
future,مستقبل
past,ماضي
present,حاضر
success,نجاح
failure,فشل
victory,انتصار
defeat,هزيمة
wisdom,حكمة
challenge,تحدي
opportunity,فرصة
community,مجتمع
environment,بيئة
economy,اقتصاد
politics,سياسة
equality,مساواة
diversity,تنوع
kindness,لطف
respect,احترام
generosity,سخاء
faith,إيمان
curiosity,فضول
imagination,خيال
creativity,إبداع
progress,تقدم
innovation,ابتكار
communication,تواصل
collaboration,تعاون
journey,رحلة
destination,وجهة
discovery,اكتشاف
adventure,مغامرة
reflection,تأمل
harmony,تناغم
balance,توازن
tranquility,هدوء
passion,شغف
purpose,هدف
courage,شجاعة
perseverance,استمرارية
inspiration,إلهام
gratitude,امتنان
happiness,سعادة
celestial,سماوي
cuisine,مأكولات
modern,حديث
ancient,قديم
mythology,أساطير
legend,أسطورة
fantasy,خيال
reality,واقع
curriculum,منهاج دراسي
examination,امتحان
vocabulary,مفردات
grammar,قواعد اللغة
conversation,محادثة
negotiation,تفاوض
diplomacy,دبلوماسية
cooperation,تعاون
partnership,شراكة
competition,منافسة
strategy,استراتيجية
tactics,تكتيكات
leadership,قيادة
management,إدارة
entrepreneurship,ريادة الأعمال
investment,استثمار
finance,تمويل
economics,اقتصاديات
society,مجتمع
religion,دين
